text,Final Label
Language Education in the Time of COVID-19,FALSE
COVID-19 Test Kits,FALSE
COVID 19 IN PRISON,FALSE
Get Waled Home,FALSE
Make pass/fail available for Mississippi State Students for the 2020-2021 academic year.,FALSE
Governor Doug Burgum to Issue Mandatory Shelter-in-Place Order,FALSE
Early release due to covid 19,FALSE
Medical professionals need protection and gear to fight Covid 19 !,FALSE
"Save Gilroy Recreation - Theater, Aquatics, Preschool, etc.",FALSE
Class of 2020 to get their certification,FALSE
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,FALSE
Open the 2020-2021 School Year Traditionally in Shasta County,FALSE
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,FALSE
Cancel the STAAR test for the 2020/2021 school year,TRUE
Justice For Dr. Susan Moore,FALSE
Extend Winter Break for Brock Students,FALSE
Get American crew members home!,FALSE
RAISE PSW WAGES TO $25​.​00/HOUR,FALSE
COVID-19  Dance Studio Industry Economic Hardship,FALSE
Support More Testing for Covid,FALSE
UBC Partial Tuition Refund,FALSE
Close China’s wet market permanently,FALSE
#SaveOurYouth,FALSE
Tuition Adjustments Due to COVID-19,TRUE
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,FALSE
Cancel 10th Gujarat Board Exams,TRUE
Cancellation of all University assignments and exams due to instability caused by COVID-19,TRUE
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,TRUE
NOW reinstate all facial treatments from behind and to the side of the face.,FALSE
Equestrian Riding relief,FALSE
UWC must call off university!,TRUE
Cancel Okanagan college  Classes due to COVID-19,TRUE
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,TRUE
Stop tourism to the Isle of Wight during the Covid 19 outbreak,TRUE
No profit on Covid-19!,FALSE
Cancel rent payments for international students during Covid 19,FALSE
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,FALSE
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,FALSE
Make Regis University close its doors now.,TRUE
Post Natal Massage Service as Essential Services,FALSE
Cancellation of RTU Final Semester Examination,TRUE
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,FALSE
"20 per studio classroom, rather than 20 per premises - if deemed safe.",FALSE
VicRoads refund rego and TAC charged during covid restrictions.,FALSE
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",FALSE
Create a Covid-19 relief package for informal waste pickers of Delhi,FALSE
Take proactive action to mitigate COVID19 in Ethiopia,FALSE
Stellenbosch University to Implement Online Examinations,TRUE
No Schools Till Corona Ends...,TRUE
Recreation Boating During Stay At Home,FALSE
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,FALSE
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,FALSE
COVID-19 - Free streaming services for quarantine,FALSE
Help stop the deportation of the Ferreira family during a global pandemic.,FALSE
Make masks mandatory for public settings in the Region of Waterloo.,FALSE
Pay Health Care Students On Placement,FALSE
Support private nurseries through Covid-19,FALSE
cancel school due to the water boil order and COVID 19,TRUE
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,FALSE
Extend the Winter Break at UFV,FALSE
TAX RELIEF FOR NEW JERSEY RESTAURANTS & SMALL BUSINESSES FROM SHUTDOWN DURING COVID-19,TRUE
Orange County Schools Must Follow CA State Guidelines For Re-Opening,TRUE
Cuomo and de Blasio Must Close all school buildings in NYC NOW!,TRUE
Why final year exams shoudn't be Conducted #promote final year students,TRUE
Offer Unconditional Citizenship to ALL non-British NHS Workers,FALSE
We Must Ensure The Safety of Our Children,FALSE
Riconosciamo alla Scuola il suo ruolo di tutela della Salute biopsicosociale,FALSE
Yarra Valley should be classified as rural for Covid-19 restrictions purposes,FALSE
Suspend Rent & Mortgage in Connecticut during COVID-19,FALSE
NYC TRANSIT WORKERS DESERVE HAZARD PAY,FALSE
Covid-19 Safety for Dental Practitioners and Patients in Colorado,FALSE
Call for Peter Weir to resign,FALSE
Temporarily Force Close Restaurants in the U​.​S to stop the spread of Covid-19,TRUE
